B1;B4;B7;B10;B13;B16;B19;B22;B25;B28;B31
;;Crinoid;;;;Microbe;;Microbe;Sparite;
;;Sparite;;;;Microbe;;Microbe;Microbe;
;;Sparite;;;;Micrite;;Microbe;Microbe;
;;Micrite;Micrite;;;;;Microbe;Microbe;
;;Sparite;Bryozoan;;;;;Microbe;Microbe;
;;;Trilobite;;;;;Bryozoan;Bryozoan;
;;;Sparite;;;;;Siliceous Sponge;Microbe;
;;;?;;;;;Siliceous Sponge;?;
;;;Micrite;;;;;Siliceous Sponge;Microbe;
;;;?;;;;;;Microbe;
;;;Bryozoan;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Tabulate Coral;;;;;;;;;;
Tabulate Coral;;;;;;;;;Microbe;
Tabulate Coral;;;;;;;;;Microbe;
Tabulate Coral;;;;;;;;Bryozoan;Microbe;
Tabulate Coral;;;;;;;;Bryozoan;Microbe;
Tabulate Coral;;;;;;;;Microbe;Microbe;
Tabulate Coral;;;;;;;;Microbe;Microbe;
?;;;;;;;;Microbe;Microbe;
Sparite;;;;;;;;Bryozoan;Microbe;
Echinoderm;;;;;;;;Bryozoan;Microbe;
Brachiopod;;;;;;;;Bryozoan;Microbe;
Sparite;;Tabulate Coral;;;;;;Microbe;Microbe;
Ostracod;;Micrite;;;;;;Rugose Coral;Microbe;
Sparite;;Crinoid;;;;;;Rugose Coral;Sparite;
Sparite;;Micrite;;;;Microbe;;Rugose Coral;Sparite;
;;Micrite;;;;Microbe;;Microbe;Microbe;
;;Micrite;;;;Micrite;;Microbe;Microbe;
;;?;;;;Bryozoan;;?;Sparite;
;;Bryozoan;;;;Microbe;;Microbe;Microbe;
;;Micrite;;;;Microbe;;Microbe;Microbe;
;;Micrite;;;;Microbe;;Microbe;Microbe;
;;Micrite;;;;Microbe;;Microbe;Microbe;
;;Sparite;;;;Microbe;;Microbe;Microbe;
;;Bryozoan;;;;;;Microbe;Microbe;
;;Brachiopod;Crinoid;;;;;Microbe;Microbe;
;;Echinoderm;Tabulate Coral;;;;;Microbe;Bryozoan;
;;;?;;;;;Siliceous Sponge;Bryozoan;
;;;?;;;;;Siliceous Sponge;Microbe;
;;;Crinoid;;;;;Siliceous Sponge;Microbe;
;;;?;;;;;Siliceous Sponge;Crinoid;
;;;Tabulate Coral;;;;;;Microbe;
;;;Sparite;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Micrite;;;;;;;;;;
Tabulate Coral;;;;;;;;;;
Tabulate Coral;;;;;;;;;;
Tabulate Coral;;;;;;;;;Microbe;
Tabulate Coral;;;;;;;;Bryozoan;Microbe;
Tabulate Coral;;;;;;;;Microbe;Microbe;
Tabulate Coral;;;;;;;;Microbe;Microbe;
Sparite;;;;;;;;Bryozoan;Bryozoan;
Sparite;;;;;;;;Bryozoan;Microbe;
Brachiopod;;;;;;;;Bryozoan;Microbe;
Sparite;;;;;;;;Bryozoan;Microbe;
Sparite;;;;;;;;Bryozoan;Microbe;
Brachiopod;;;;;;;;Microbe;Microbe;
Sparite;;;;;;;;Rugose Coral;Microbe;
Micrite;;Crinoid;;;;;;Rugose Coral;Tabulate Coral;
;;Micrite;;;;;;Rugose Coral;Tabulate Coral;
;;Micrite;;;;Microbe;;Rugose Coral;Tabulate Coral;
;;Micrite;;;;Micrite;;Rugose Coral;Tabulate Coral;
;;Micrite;;;;Bryozoan;;Ostracod;Tabulate Coral;
;;Micrite;;;;Microbe;;Microbe;Tabulate Coral;
;;Echinoderm;;;;Microbe;;Microbe;Microbe;
;;Mollusc;;;;Microbe;;Microbe;Microbe;
;;?;;;;Crinoid;;Microbe;Microbe;
;;Sparite;;;;?;;Bryozoan;Microbe;
;;Sparite;;;;Micrite;;Microbe;Microbe;
;;Sparite;;;;;;Microbe;Allonema;
;;Sparite;;;;;;Microbe;Microbe;
;;;Tabulate Coral;;;;;Siliceous Sponge;Microbe;
;;;Tabulate Coral;;;;;Siliceous Sponge;Microbe;
;;;Tabulate Coral;;;;;Siliceous Sponge;Microbe;
;;;Tabulate Coral;;;;;Siliceous Sponge;Microbe;
;;;Tabulate Coral;;;;;;Microbe;
;;;Tabulate Coral;;;;;;;
;;;Sparite;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Micrite;;;;;;;;;;
Micrite;;;;;;;;;;
Tabulate Coral;;;;;;;;;;
Tabulate Coral;;;;;;;;;Microbe;
Tabulate Coral;;;;;;;;Bryozoan;Microbe;
Tabulate Coral;;;;;;;;Microbe;Microbe;
Sparite;;;;;;;;Microbe;Bryozoan;
Micrite;;;;;;;;Bryozoan;Microbe;
Sparite;;;;;;;;Bryozoan;Tabulate Coral;
Micrite;;;;;;;;Microbe;Tabulate Coral;
Sparite;;;;;;;;Microbe;Tabulate Coral;
Micrite;;;;;;;;Bryozoan;Tabulate Coral;
Brachiopod;;;;;;;;Rugose Coral;Tabulate Coral;
Sparite;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;Micrite;;;;;;Rugose Coral;Tabulate Coral;
;;Micrite;;;;Microbe;;Rugose Coral;Tabulate Coral;
;;Micrite;;;;Micrite;;Microbe;Tabulate Coral;
;;Ostracod;;;;Microbe;;Microbe;Tabulate Coral;
;;Micrite;;;;Microbe;;Microbe;Microbe;
;;Micrite;;;;Microbe;;Microbe;Microbe;
;;Micrite;;;;Microbe;;Microbe;Microbe;
;;Micrite;;;;Microbe;;Microbe;Microbe;
;;Micrite;;;;Micrite;;Microbe;Allonema;
;;Micrite;;;;;;Microbe;Allonema;
;;Micrite;;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Allonema;
;;;;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Microbe;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;Tabulate Coral;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Brachiopod;;;;;;;;;;
Sparite;;;;;;;;;;
Micrite;;;;;;;;;Microbe;
Micrite;;;;;;;;;Microbe;
Brachiopod;;;;;;;;Microbe;Sparite;
Brachiopod;;;;;;;;Microbe;Tabulate Coral;
Micrite;;;;;;;;Microbe;Tabulate Coral;
Mollusc;;;;;;;;Microbe;Tabulate Coral;
Sparite;;;;;;;;Microbe;Tabulate Coral;
Sparite;;;;;;;;Microbe;Tabulate Coral;
Micrite;;;;;;;;Microbe;Tabulate Coral;
Micrite;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Microbe;
;;;;;;Bryozoan;;Microbe;Tabulate Coral;
;;;;;;Microbe;;Allonema;Tabulate Coral;
;;;;;;Microbe;;Microbe;Microbe;
;;Micrite;;;;Microbe;;Microbe;Tabulate Coral;
;;Micrite;;;;Brachiopod;;Microbe;Tabulate Coral;
;;Micrite;;;;Micrite;;Microbe;Tabulate Coral;
;;Micrite;;;;Micrite;;Microbe;Microbe;
;;Ostracod;;;;;;Microbe;Allonema;
;;?;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Microbe;
;;;;;;;;?;Microbe;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Micrite;;;;;;;;;;
Brachiopod;;;;;;;;;;
Sparite;;;;;;;;;Microbe;
Micrite;;;;;;;;;Microbe;
Sparite;;;;;;;;Microbe;Tabulate Coral;
Micrite;;;;;;;;Sparite;Tabulate Coral;
Micrite;;;;;;;;Microbe;Tabulate Coral;
Sparite;;;;;;;;Microbe;Tabulate Coral;
Micrite;;;;;;;;Microbe;Tabulate Coral;
Sparite;;;;;;;;Sparite;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Allonema;Tabulate Coral;
;;;;;;Micrite;;Microbe;Tabulate Coral;
;;;;;;Micrite;;Microbe;Tabulate Coral;
;;Crinoid;;;;Micrite;;Bryozoan;Tabulate Coral;
;;Micrite;;;;Micrite;;Bryozoan;Tabulate Coral;
;;Micrite;;;;Micrite;;Microbe;Tabulate Coral;
;;Micrite;;;;;;Microbe;Microbe;
;;?;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;?;Microbe;
;;;;;;;;;Microbe;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Sparite;;;;;;;;;;
Green Algae;;;;;;;;;Microbe;
Bryozoan;;;;;;;;;Tabulate Coral;
Green Algae;;;;;;;;;Tabulate Coral;
Micrite;;;;;;;;Microbe;Tabulate Coral;
Tabulate Coral;;;;;;;;Microbe;Tabulate Coral;
Micrite;;;;;;;;Microbe;Tabulate Coral;
Crinoid;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Bryozoan;Tabulate Coral;
;;;;;;;;Bryozoan;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;Micrite;;Bryozoan;Tabulate Coral;
;;Micrite;;;;Micrite;;Microbe;Tabulate Coral;
;;?;;;;Micrite;;Microbe;Tabulate Coral;
;;Micrite;;;;;;Microbe;Microbe;
;;Micrite;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Sparite;;;;;;;;;Tabulate Coral;
Green Algae;;;;;;;;;Tabulate Coral;
Crinoid;;;;;;;;;Tabulate Coral;
Micrite;;;;;;;;Bryozoan;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Bryozoan;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Allonema;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Microbe;
Sparite;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Microbe;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Rugose Coral;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Microbe;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;Microbe;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Microbe;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Microbe;
;;;;;;;;;Microbe;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Microbe;
;;;;;;;;;Microbe;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
;;;;;;;;;Tabulate Coral;
