B1;B4;B7;B10;B13;B16;B19;B22;B25;B28;B31
;Brachiopod;Sparite;Echinoderm;Micrite;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
;Sparite;Bryozoan;Sparite;Sparite;Sparite;;Stromatoporoid;?;Microbe;Stromatoporoid
;Crinoid;Brachiopod;Sparite;Tabulate Coral;Tabulate Coral_Oncoid;;Stromatoporoid;?;Micrite;Stromatoporoid
;Micrite;Sparite;Tabulate Coral;Micrite;Micrite;;Stromatoporoid;Micrite;Bryozoan;Stromatoporoid
Micrite;Tabulate Coral;Sparite;Tabulate Coral;Crinoid;Micrite;;Stromatoporoid;;Rothpletzella;Stromatoporoid
Micrite;Trilobite;Sparite;Tabulate Coral;Crinoid;Micrite;;Stromatoporoid;;Microbe;Stromatoporoid
Micrite;Micrite;Crinoid;Micrite;Crinoid;?;;Stromatoporoid;;Microbe;Stromatoporoid
Micrite;Micrite;Sparite;;Crinoid;Tabulate Coral_Oncoid;;Stromatoporoid;;Microbe;Stromatoporoid
Echinoderm;Micrite;Sparite;;Crinoid;Micrite;;Stromatoporoid;;Bryozoan;Stromatoporoid
Micrite;Micrite;Sparite;;Sparite;Micrite;;Stromatoporoid;;Bryozoan;Stromatoporoid
Micrite;Micrite;Sparite;;Bryozoan;Micrite;;Stromatoporoid;;Microbe;Micrite
Micrite;Bryozoan;;;Bryozoan;;;Stromatoporoid;;Microbe;
Mollusc;;;;Micrite;;;Stromatoporoid;;Microbe;
Micrite;;;;Micrite;;;Stromatoporoid;;Microbe;
Micrite;;;;Tabulate Coral;;;Stromatoporoid;;Microbe;
Micrite;;;;Micrite;;;Stromatoporoid;;Microbe;
Sparite;;;;Microbe;;;;;;
Micrite;;;;Sparite;;;;;;
Sparite;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Sparite;Crinoid;;;;;Stromatoporoid;;;
;Bryozoan;Crinoid;;Micrite;Microbe;;Stromatoporoid;Microbe;;
;Mollusc;Sparite;;Bryozoan;Bryozoan;Micrite;Stromatoporoid;Bryozoan;;Micrite
;Crinoid;Sparite;Sparite;Bryozoan;Microbe;Microbe;Stromatoporoid;Bryozoan;;Micrite
;Trilobite;Tabulate Coral;Crinoid;Rothpletzella;Bryozoan;Crinoid;Stromatoporoid;Bryozoan;;Tabulate Coral
;Crinoid;Sparite;Micrite;Rothpletzella;?;Bryozoan;Stromatoporoid;Microbe;;Tabulate Coral
;Sparite;Stromatoporoid_Oncoid;Tabulate Coral;Crinoid;Micrite;Micrite;Stromatoporoid;Microbe;;Tabulate Coral
;Sparite;Stromatoporoid_Oncoid;Sparite;Crinoid;Micrite;Microbe;Stromatoporoid;Microbe;;Micrite
;?;Stromatoporoid_Oncoid;?;Crinoid;Brachiopod;Microbe;Stromatoporoid;Microbe;;Micrite
;Brachiopod;Sparite;Bryozoan;Crinoid;Crinoid;Crinoid;Microbe;Microbe;;Micrite
;Micrite;Sparite;?;Brachiopod;Crinoid;Crinoid;Tabulate Coral;Microbe;;Micrite
;Brachiopod;Sparite;Brachiopod;Crinoid;Microbe_Oncoid;Microbe;Tabulate Coral;?;Microbe;Stromatoporoid
;Crinoid;Sparite;Bryozoan;Micrite;Tabulate Coral_Oncoid;Tabulate Coral;Microbe;Microbe;Microbe;Stromatoporoid
;Crinoid;Sparite;Brachiopod;Micrite;Tabulate Coral_Oncoid;Tabulate Coral;Microbe;Microbe;?;Stromatoporoid
;Brachiopod;Sparite;Sparite;Micrite;Microbe_Oncoid;;Stromatoporoid;Microbe;Bryozoan;Stromatoporoid
;Sparite;Sparite;Brachiopod;Micrite;Bryozoan_Oncoid;;Stromatoporoid;Microbe;Bryozoan;Stromatoporoid
;Sparite;Micrite;Micrite;Micrite;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
;Sparite;Bryozoan;Micrite;Micrite;Micrite;;Stromatoporoid;?;Rothpletzella;Stromatoporoid
Micrite;Tabulate Coral;Tabulate Coral;Tabulate Coral;Crinoid;Micrite;;Stromatoporoid;Micrite;Rothpletzella;Stromatoporoid
Micrite;Mollusc;Sparite;Tabulate Coral;Micrite;Micrite;;Stromatoporoid;;Microbe;Stromatoporoid
Micrite;Sparite;Sparite;Tabulate Coral;Sparite;Micrite;;Stromatoporoid;;Microbe;Stromatoporoid
Micrite;Brachiopod;Sparite;Micrite;Echinoderm;Tabulate Coral_Oncoid;;Stromatoporoid;;Allonema;Sparite
