A1;A4;A7;A10;A14;A17;A20;A23;A26;A29;A32;A35;A38;A41
Micrite;;Micrite;;Crinoid;Micrite;Micrite;;Micrite;;Micrite;Crinoid;;Crinoid
Crinoid;;Micrite;;Micrite;Micrite;Micrite;;Tabulate Coral;;Sparite;Bryozoan;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;;Micrite;;Sparite;Sparite;;Micrite
Micrite;;Micrite;;Echinoderm;Micrite;Micrite;;;;Micrite;Sparite;?;Micrite
Micrite;;Micrite;;Micrite;?;Micrite;;;;Micrite;Sparite;Micrite;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;;;Micrite;Bryozoan;Bryozoan;Micrite
Micrite;;Micrite;;Bivalve;Micrite;Micrite;Micrite;;;Crinoid;Bryozoan;Bryozoan;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;;;Micrite;Sparite;Sparite;Micrite
Micrite;;Micrite;;Micrite;Micrite;?;Gastropod;;;Micrite;Sparite;Green Algae;Crinoid
Micrite;;Micrite;;Micrite;Micrite;?;Gastropod;;;Micrite;Crinoid;Sparite;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Gastropod;;;Micrite;Crinoid;Sparite;Micrite
Micrite;;?;;;Micrite;Trilobite;Gastropod;;;Micrite;Sparite;Sparite;Micrite
Micrite;;;;;Micrite;?;Gastropod;Micrite;Micrite;Micrite;Micrite;Sparite;Echinoderm
Micrite;Micrite;;;;Micrite;Micrite;Gastropod;Micrite;Micrite;Micrite;?;Sparite;Tabulate Coral
Micrite;Micrite;;Micrite;;Echinoderm;Micrite;Gastropod;Micrite;Micrite;Micrite;?;;Tabulate Coral
Micrite;Micrite;;Micrite;;Micrite;Micrite;Gastropod;Trilobite;Micrite;Bryozoan;Brachiopod;;Tabulate Coral
Micrite;Micrite;;Micrite;;Micrite;Micrite;Gastropod;Micrite;Mollusc;Micrite;Echinoderm;;Tabulate Coral
Micrite;Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;Micrite;Micrite;;Micrite
Micrite;Micrite;;Micrite;;Micrite;Sparite;Micrite;?;Micrite;;Micrite;;Micrite
Micrite;Micrite;;Micrite;;Micrite;Crinoid;Micrite;Micrite;Micrite;;;;Sparite
Micrite;Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;?;;;;Micrite
Micrite;Micrite;;Micrite;;Micrite;Crinoid;Micrite;?;Micrite;;;;Micrite
?;Micrite;;Micrite;;Bivalve;;Micrite;Micrite;Micrite;;;;Micrite
?;Micrite;;Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Micrite
;Micrite;;Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;?;;;Micrite;Brachiopod;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;;Micrite;;;;;Stromatoporoid
;?;;Crinoid;;Micrite;;;Micrite;;;;;
;?;;Micrite;;Micrite;;;Micrite;;;;;
;Micrite;;Micrite;;;;;Micrite;;;;;
;;;Micrite;;;;;Micrite;;;;;
;;;Micrite;;;;;Micrite;;;;;
;;;Micrite;;;;;;;;;;
;;;Micrite;;;;;;;;;;
;;;Micrite;;;;;;;;;;
;;;Micrite;;;;;;;;;;
;;;;;;;;;;;;;
;;Micrite;;;Micrite;;;;;Micrite;;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Micrite;Micrite;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Organic;;Micrite;;Micrite;Micrite;;Tabulate Coral
Micrite;;Micrite;;Micrite;Micrite;Micrite;;Micrite;;Micrite;Sparite;;Micrite
Micrite;;Micrite;;Echinoderm;Micrite;Micrite;;Tabulate Coral;;Crinoid;Sparite;;Micrite
Micrite;;Micrite;;Echinoderm;Micrite;Micrite;Micrite;Micrite;;Bryozoan;Sparite;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Tabulate Coral;;Crinoid;Crinoid;Echinoderm;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Tabulate Coral;;Micrite;Echinoderm;Sparite;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;;;Micrite;Micrite;Bryozoan;Crinoid
Micrite;;Micrite;;Crinoid;Micrite;Micrite;Micrite;;;Micrite;Bryozoan;?;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;;Micrite;Sparite;?;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;;Micrite;Echinoderm;Bryozoan;Brachiopod
Micrite;;Micrite;;Micrite;Micrite;Micrite;Gastropod;Micrite;;Micrite;Sparite;Sparite;Crinoid
Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;Gastropod;Micrite;;Micrite;Sparite;Sparite;?
Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;Gastropod;Micrite;;?;Bryozoan;Crinoid;Micrite
Micrite;Micrite;?;Micrite;Micrite;Micrite;Micrite;Micrite;Micrite;Micrite;Crinoid;Crinoid;Sparite;Micrite
Micrite;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;Micrite;Micrite;Micrite;?;Sparite;Tabulate Coral
Micrite;Micrite;;Crinoid;;Micrite;Micrite;Micrite;Micrite;Micrite;?;Sparite;Sparite;Tabulate Coral
Micrite;Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;Sparite;Micrite;;Tabulate Coral
Micrite;Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;Bryozoan;Crinoid;;Tabulate Coral
;Micrite;;Micrite;;?;Micrite;Micrite;Mollusc;Micrite;Brachiopod;Micrite;;Micrite
;Micrite;;Micrite;;Micrite;Bryozoan;Micrite;Micrite;Micrite;Micrite;Micrite;;Micrite
;Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;;Micrite;;Sparite
;Micrite;;Micrite;;Tabulate Coral;Micrite;Micrite;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Sparite;;Micrite;Micrite;Micrite;?;Micrite;;;;Micrite
;Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;;;;Micrite
;Micrite;;Micrite;;Tabulate Coral;;Micrite;Micrite;Micrite;;;;Micrite
;Micrite;;Micrite;;Tabulate Coral;;Micrite;Micrite;Micrite;;;;Micrite
;Micrite;;Micrite;;Micrite;;;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;;Micrite;;;;;
;?;;?;;Micrite;;;Micrite;;;;;
;?;;?;;Micrite;;;Micrite;;;;;
;;;Micrite;;;;;Micrite;;;;;
;;;Micrite;;;;;Micrite;;;;;
;;;Bivalve;;;;;;;;;;
;;;Micrite;;;;;;;;;;
;;;Micrite;;;;;;;;;;
;;;Micrite;;;;;;;;;;
;;;;;;;;;;;;;
;;Micrite;;Micrite;Micrite;;?;;;Micrite;;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Mollusc;Micrite;;;Micrite;;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;?;;Bryozoan;Micrite;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;;Micrite;Micrite;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Tabulate Coral;;Micrite;Sparite;;Crinoid
Micrite;;Micrite;;Micrite;Micrite;Micrite;?;Tabulate Coral;;Bryozoan;Crinoid;?;Crinoid
Micrite;;Micrite;;Crinoid;Micrite;Micrite;Micrite;Micrite;;Micrite;Sparite;?;Bryozoan
Micrite;;Micrite;;Micrite;?;Micrite;Micrite;Mollusc;;Micrite;Micrite;Micrite;Bryozoan
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Tabulate Coral;;Micrite;Sparite;?;Bryozoan
Micrite;;Micrite;;Ostracod;Micrite;Micrite;Micrite;Micrite;;Echinoderm;Crinoid;Ostracod;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Tabulate Coral;;Micrite;?;Trilobite;Micrite
Micrite;;Micrite;;Bryozoan;Micrite;Bryozoan;Micrite;Micrite;;Crinoid;Echinoderm;?;?
Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;Micrite;Tabulate Coral;;Crinoid;Crinoid;Sparite;Micrite
Micrite;Micrite;Micrite;Crinoid;Micrite;Micrite;Micrite;Micrite;Tabulate Coral;;Micrite;?;?;Crinoid
Micrite;Micrite;Micrite;Crinoid;Micrite;Micrite;Micrite;Micrite;Micrite;Micrite;Bivalve;Sparite;Bryozoan;Micrite
Micrite;Micrite;Micrite;?;Micrite;Micrite;Micrite;Micrite;Micrite;Micrite;Micrite;Bryozoan;Bryozoan;Micrite
Micrite;Micrite;Micrite;Crinoid;Micrite;Micrite;Bryozoan;Micrite;Micrite;Micrite;Micrite;Micrite;Bryozoan;Tabulate Coral
Micrite;Micrite;Micrite;Micrite;;Micrite;Bryozoan;Micrite;Micrite;Crinoid;Brachiopod;Micrite;Sparite;Tabulate Coral
Micrite;Micrite;;Micrite;;Micrite;Bryozoan;Micrite;Micrite;Micrite;Micrite;Micrite;Bryozoan;Tabulate Coral
Micrite;Micrite;;Micrite;;Micrite;Bryozoan;Micrite;Micrite;Brachiopod;Micrite;Micrite;Micrite;Micrite
Micrite;Micrite;;Micrite;;Micrite;Bryozoan;Micrite;Micrite;Micrite;Micrite;Micrite;;Micrite
Micrite;Micrite;;Micrite;;Micrite;Bryozoan;Micrite;Micrite;Crinoid;Sparite;?;;Micrite
Micrite;Micrite;;Micrite;;Micrite;Bryozoan;Micrite;Micrite;Micrite;?;Sparite;;Echinoderm
Micrite;Micrite;;Micrite;;Tabulate Coral;Bryozoan;Micrite;Micrite;Micrite;Micrite;?;;Micrite
Micrite;Micrite;;Micrite;;Micrite;Bryozoan;Micrite;Micrite;Micrite;Micrite;Micrite;;Micrite
Bryozoan;Micrite;;Micrite;;?;Sparite;Micrite;Micrite;Micrite;;;;Micrite
Micrite;Micrite;;Micrite;;Trilobite;;Micrite;Micrite;Micrite;;;;Sparite
Micrite;Echinoderm;;Micrite;;Tabulate Coral;;Micrite;Micrite;Micrite;;;;Micrite
;Micrite;;Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Sparite
;Micrite;;Micrite;;Mollusc;;;Micrite;Micrite;;;;Micrite
;Micrite;;Micrite;;Tabulate Coral;;;Micrite;Micrite;;;;Micrite
;Micrite;;Micrite;;Micrite;;;Micrite;Micrite;;;;Sparite
;Micrite;;Micrite;;Micrite;;;Micrite;Micrite;;;;
;?;;Micrite;;Micrite;;;Micrite;;;;;
;?;;Micrite;;Micrite;;;Micrite;;;;;
;;;Micrite;;;;;Micrite;;;;;
;;;Micrite;;;;;Micrite;;;;;
;;;Micrite;;;;;;;;;;
;;;Micrite;;;;;;;;;;
;;;Micrite;;;;;;;;;;
;;;Micrite;;;;;;;;;;
Crinoid;;;;;;;Micrite;;;;;;
Micrite;;Micrite;;Micrite;Micrite;Crinoid;Micrite;;;Micrite;;Sparite;?
Micrite;;?;;Micrite;Micrite;Micrite;Micrite;;;Micrite;;Sparite;Micrite
Micrite;;Micrite;;Micrite;Micrite;Organic;Micrite;Sparite;;Micrite;Micrite;Bryozoan;Micrite
Micrite;;Micrite;;Echinoderm;Micrite;Micrite;Micrite;Sparite;;Micrite;Sparite;?;Micrite
Micrite;;Micrite;;Micrite;Micrite;Brachiopod;Micrite;Sparite;;Micrite;Micrite;Bryozoan;Crinoid
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Tabulate Coral;;Micrite;Sparite;Sparite;Micrite
Micrite;;Micrite;Micrite;Echinoderm;Micrite;?;Micrite;Micrite;;Micrite;Sparite;Sparite;Bryozoan
Micrite;;Micrite;;Micrite;Micrite;?;Micrite;Micrite;;Micrite;Bryozoan;?;Bryozoan
Micrite;;Micrite;;Micrite;Micrite;Bryozoan;Micrite;Micrite;;Bryozoan;Sparite;Sparite;Bryozoan
Micrite;;Micrite;;?;Micrite;Bryozoan;Micrite;Micrite;;Micrite;Sparite;Sparite;Micrite
Micrite;;Micrite;;Micrite;Micrite;Bryozoan;Micrite;Micrite;;Bryozoan;Bryozoan;Sparite;Brachiopod
Micrite;;Micrite;Micrite;?;Micrite;Bryozoan;Micrite;Micrite;;Micrite;Bryozoan;Sparite;Crinoid
?;Micrite;Micrite;Micrite;Micrite;Micrite;Bryozoan;Micrite;Micrite;;Micrite;Micrite;Sparite;Micrite
Micrite;Micrite;Micrite;Micrite;Micrite;Micrite;Bryozoan;Micrite;Micrite;;Micrite;Sparite;Bivalve;Bryozoan
Micrite;Micrite;Micrite;Micrite;Micrite;?;Bryozoan;Micrite;Tabulate Coral;Micrite;Micrite;Echinoderm;Sparite;Micrite
Micrite;Micrite;Micrite;Micrite;Brachiopod;Micrite;Bryozoan;Micrite;Tabulate Coral;Micrite;?;Sparite;Bryozoan;Tabulate Coral
Micrite;Micrite;Micrite;Micrite;Echinoderm;Tabulate Coral;Bryozoan;Micrite;Micrite;Micrite;Micrite;Bryozoan;Sparite;Tabulate Coral
Micrite;Micrite;Micrite;?;;Tabulate Coral;Bryozoan;Micrite;Micrite;Micrite;Micrite;?;Bryozoan;Tabulate Coral
Micrite;Sparite;;Micrite;;Micrite;Pentameride Brachiopod;Micrite;Micrite;Micrite;Micrite;Micrite;Sparite;Tabulate Coral
Micrite;Micrite;;Micrite;;Brachiopod;Pentameride Brachiopod;Micrite;Micrite;Micrite;Micrite;Crinoid;;Micrite
Micrite;Micrite;;Micrite;;Micrite;Pentameride Brachiopod;Micrite;Micrite;Micrite;Micrite;Bryozoan;;Micrite
Micrite;Micrite;;Micrite;;Micrite;Pentameride Brachiopod;Micrite;Micrite;Micrite;Micrite;Micrite;;Micrite
